t,E,Ttrans,Trot,Tgyro,Trel,Vslosh,Vcoup,Hx,Hy,Hz,Hn,Px,Py,Pz,s,sd,th1,th2
0.000000000000e+0,2.472930255829e+0,0.000000000000e+0,7.980118502053e-1,-2.259052160705e-3,5.662085538759e-2,1.219452741655e+0,4.011038607415e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,1.000000000000e-1,-7.000000000000e-2
2.000000000000e-2,2.472930255829e+0,0.000000000000e+0,7.984774647812e-1,-2.780347857593e-4,3.723930634303e-2,1.232151864549e+0,4.053396549414e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,1.228822342948e-6,1.229583596512e-4,1.005576726027e-1,-7.033977868300e-2
4.000000000000e-2,2.472930255828e+0,0.000000000000e+0,7.995120194745e-1,5.733860225071e-4,2.253266359737e-2,1.241692783480e+0,4.086194032540e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,4.920078583833e-6,2.461783019761e-4,1.010304013281e-1,-7.055874777279e-2
6.000000000000e-2,2.472930255828e+0,0.000000000000e+0,8.011194904578e-1,2.825651950224e-4,1.257146415129e-2,1.248029048716e+0,4.109276873083e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,1.107509109612e-5,3.692687205480e-4,1.014178096091e-1,-7.065650508736e-2
8.000000000000e-2,2.472930255828e+0,0.000000000000e+0,8.033008136043e-1,-1.157047433212e-3,7.399972521364e-3,1.251132658367e+0,4.122538587690e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,1.968735161654e-5,4.918377679860e-4,1.017195971817e-1,-7.063284660877e-2
1.000000000000e-1,2.472930255828e+0,0.000000000000e+0,8.060538682335e-1,-3.745864388781e-3,7.035961489996e-3,1.250994203058e+0,4.125920874356e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,3.074251301873e-5,6.134935152970e-4,1.019355403078e-1,-7.048776683413e-2
1.200000000000e-1,2.472930255828e+0,0.000000000000e+0,8.093734780094e-1,-7.478152275229e-3,1.147064618976e-2,1.247622899112e+0,4.119413847927e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,4.421839428071e-5,7.338446120570e-4,1.020654919248e-1,-7.022145881532e-2
1.400000000000e-1,2.472930255828e+0,0.000000000000e+0,8.132514289920e-1,-1.234205797028e-2,2.066877177559e-2,1.241046510105e+0,4.103056029258e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,6.008499867165e-5,8.525009483091e-4,1.021093817222e-1,-6.983431388740e-2
1.600000000000e-1,2.472930255828e+0,0.000000000000e+0,8.176765047458e-1,-1.831966914532e-2,3.456885405487e-2,1.231311157334e+0,4.076934088391e-1,3.057402047113e+1,8.609316135746e+0,1.589658807822e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,7.830454520083e-5,9.690743190231e-4,1.020672161453e-1,-6.932692108590e-2
1.800000000000e-1,2.472930255828e+0,0.000000000000e+0,8.226345383168e-1,-2.538710875682e-2,5.308357156534e-2,1.218481020376e+0,4.041182343263e-1,3.057402047113e+1,8.609316135746e+0,1.589658807823e+1,3.551890432746e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,9.883151338813e-5,1.083179091910e-3,1.019390783253e-1,-6.870006625390e-2
