time,r_x,r_y,r_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,q_est_w,q_est_x,q_est_y,q_est_z,omega_est_x,omega_est_y,omega_est_z,gyro_bias_est_x,gyro_bias_est_y,gyro_bias_est_z,slider_s,slider_v,slider_s_est,slider_v_est,theta_1,theta_1_dot,theta_2,theta_2_dot,theta_1_est,theta_2_est,slosh_energy,fuel_true,fuel_est,c1_est,c2_est,k12_est,etaT_est,attitude_error_deg,thruster_0_cmd,thruster_1_cmd,thruster_2_cmd,thruster_3_cmd,thruster_4_cmd,thruster_5_cmd,thruster_0_actual,thruster_1_actual,thruster_2_actual,thruster_3_actual,thruster_4_actual,thruster_5_actual,fault_confidence_0,fault_confidence_1,fault_confidence_2,fault_confidence_3,fault_confidence_4,fault_confidence_5,detected_failed_thruster,quaternion_norm_error,total_angular_momentum_error
0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,9.23881060e-1,2.20940254e-1,-2.20940254e-1,2.20940254e-1,1.20000000e-1,-8.00000000e-2,1.60000000e-1,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,6.00000000e-1,-3.00000000e-1,0.00000000e+0,0.00000000e+0,1.80000000e-1,0.00000000e+0,-1.10000000e-1,6.00000000e-2,0.00000000e+0,0.00000000e+0,4.77172135e+0,5.00000000e+0,5.00000000e+0,1.30000000e-1,9.00000000e-2,3.00000000e-1,8.90000000e-1,4.49995426e+1,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,0.00000000e+0
5.00000000e-3,1.22536015e-4,7.98828024e-5,2.79497846e-5,2.44849304e-2,1.59802756e-2,5.58062851e-3,9.23682068e-1,2.21173294e-1,-2.21147297e-1,2.21331615e-1,1.19992453e-1,-8.02153198e-2,1.59834397e-1,9.33855441e-1,2.06170219e-1,-2.06326856e-1,2.06971217e-1,1.21029551e-1,-8.01543704e-2,1.60940287e-1,-4.33885261e-3,4.37583397e-3,-4.34945333e-3,5.98500972e-1,-2.99611198e-1,2.08880299e-1,-1.19619276e-1,1.79995586e-1,-1.76529998e-3,-1.09694540e-1,6.21827434e-2,4.43150369e-2,-3.10318542e-2,4.77220043e+0,5.00000000e+0,4.87369103e+0,1.29998192e-1,9.00452081e-2,3.00008006e-1,8.95600000e-1,4.50590923e+1,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,4.75366256e-2
5.00000000e-2,1.21549582e-3,8.00466237e-4,2.75493960e-4,2.40942655e-2,1.60450740e-2,5.42554362e-3,9.21878076e-1,2.23276588e-1,-2.23025998e-1,2.24828341e-1,1.19944038e-1,-8.21258312e-2,1.58350843e-1,9.33855441e-1,2.06170219e-1,-2.06326856e-1,2.06971217e-1,1.21029551e-1,-8.01543704e-2,1.60940287e-1,-4.33885261e-3,4.37583397e-3,-4.34945333e-3,5.85096993e-1,-2.96125131e-1,2.08880299e-1,-1.19619276e-1,1.79560241e-1,-1.75501366e-2,-1.06459214e-1,8.15088608e-2,4.43150369e-2,-3.10318542e-2,4.77763767e+0,5.00000000e+0,4.87369103e+0,1.29998192e-1,9.00452081e-2,3.00008006e-1,8.95600000e-1,4.55955866e+1,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,4.70835870e-1
1.00000000e-1,2.40982982e-3,1.60445606e-3,5.43145130e-4,2.36832078e-2,1.61142341e-2,5.28717622e-3,9.19846213e-1,2.25626573e-1,-2.25144541e-1,2.28660294e-1,1.19931101e-1,-8.41793731e-2,1.56723349e-1,9.33855441e-1,2.06170219e-1,-2.06326856e-1,2.06971217e-1,1.21029551e-1,-8.01543704e-2,1.60940287e-1,-4.33885261e-3,4.37583397e-3,-4.34945333e-3,5.70387009e-1,-2.92278962e-1,2.08880299e-1,-1.19619276e-1,1.78249801e-1,-3.48115048e-2,-1.01863063e-1,1.02181054e-1,4.43150369e-2,-3.10318542e-2,4.78527743e+0,5.00000000e+0,4.87369103e+0,1.29998192e-1,9.00452081e-2,3.00008006e-1,8.95600000e-1,4.61927807e+1,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,9.29336892e-1
1.50000000e-1,3.58536062e-3,2.41868734e-3,8.10206452e-4,2.34091616e-2,1.66547398e-2,5.57656775e-3,9.17786700e-1,2.27989230e-1,-2.27292938e-1,2.32435806e-1,1.19714636e-1,-8.60186219e-2,1.54940792e-1,9.25240490e-1,2.17635067e-1,-2.17678153e-1,2.21768429e-1,1.25363584e-1,-8.91212552e-2,1.61997751e-1,-4.62888646e-3,4.67603295e-3,-4.66752204e-3,5.55897690e-1,-2.87478335e-1,3.28845424e-1,-1.86244953e-1,1.76078307e-1,-5.21674593e-2,-9.62655526e-2,1.21339513e-1,8.00134425e-2,-4.81556336e-2,4.79045384e+0,4.99858613e+0,4.88142334e+0,1.30000130e-1,9.00936626e-2,3.00023330e-1,9.00752000e-1,4.67907444e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,1.41062996e+0
2.00000000e-1,4.75226383e-3,3.27317287e-3,1.10423526e-3,2.32670314e-2,1.75277057e-2,6.20260179e-3,9.15703866e-1,2.30358451e-1,-2.29465608e-1,2.36150269e-1,1.19375139e-1,-8.76680728e-2,1.53073853e-1,9.25240490e-1,2.17635067e-1,-2.17678153e-1,2.21768429e-1,1.25363584e-1,-8.91212552e-2,1.61997751e-1,-4.62888646e-3,4.67603295e-3,-4.66752204e-3,5.41635673e-1,-2.83007408e-1,3.28845424e-1,-1.86244953e-1,1.73037763e-1,-6.93680277e-2,-8.97524858e-2,1.38967164e-1,8.00134425e-2,-4.81556336e-2,4.79286528e+0,4.99622969e+0,4.88142334e+0,1.30000130e-1,9.00936626e-2,3.00023330e-1,9.00752000e-1,4.73882323e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,1.96030327e+0
2.50000000e-1,5.91114147e-3,4.17085254e-3,1.43018273e-3,2.30882768e-2,1.83828111e-2,6.85403697e-3,9.13598671e-1,2.32733777e-1,-2.31659430e-1,2.39804851e-1,1.19075065e-1,-8.91949878e-2,1.51255439e-1,9.19141559e-1,2.25738751e-1,-2.24514095e-1,2.31978946e-1,1.25472702e-1,-9.28691761e-2,1.58872286e-1,-4.80906098e-3,4.82070875e-3,-4.80388034e-3,5.27628944e-1,-2.77266608e-1,3.89827937e-1,-2.24847672e-1,1.69150850e-1,-8.60079928e-2,-8.23918160e-2,1.55216464e-1,1.03226105e-1,-5.92935580e-2,4.79322762e+0,4.99387325e+0,5.02771876e+0,1.30001884e-1,9.01375061e-2,3.00041250e-1,9.05491840e-1,4.79850058e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,2.52182420e+0
3.00000000e-1,7.06152168e-3,5.11145305e-3,1.79032984e-3,2.29270819e-2,1.92449779e-2,7.57128043e-3,9.11471690e-1,2.35115254e-1,-2.33871339e-1,2.43401671e-1,1.18812782e-1,-9.05849928e-2,1.49494171e-1,9.19141559e-1,2.25738751e-1,-2.24514095e-1,2.31978946e-1,1.25472702e-1,-9.28691761e-2,1.58872286e-1,-4.80906098e-3,4.82070875e-3,-4.80388034e-3,5.13908532e-1,-2.71554609e-1,3.89827937e-1,-2.24847672e-1,1.64447704e-1,-1.02003698e-1,-7.42564191e-2,1.69931468e-1,1.03226105e-1,-5.92935580e-2,4.79037722e+0,4.99151680e+0,5.02771876e+0,1.30001884e-1,9.01375061e-2,3.00041250e-1,9.05491840e-1,4.85809460e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,3.07518268e+0
3.50000000e-1,8.20404753e-3,6.09529784e-3,2.18789030e-3,2.27740787e-2,2.01129993e-2,8.35099109e-3,9.09323522e-1,2.37502718e-1,-2.36098031e-1,2.46943132e-1,1.18586355e-1,-9.18251087e-2,1.47798570e-1,9.13915383e-1,2.32153435e-1,-2.30178573e-1,2.40585286e-1,1.24447099e-1,-9.66039534e-2,1.55268276e-1,-4.92786087e-3,4.90963350e-3,-4.90155198e-3,5.00479043e-1,-2.65629539e-1,4.19292900e-1,-2.40294718e-1,1.58962544e-1,-1.17275736e-1,-6.54266018e-2,1.82971052e-1,1.20753905e-1,-6.91434613e-2,4.78324916e+0,4.98916036e+0,5.10490540e+0,1.30003441e-1,9.01764404e-2,3.00059868e-1,9.09852493e-1,4.91759319e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,3.61187327e+0
4.00000000e-1,9.33938153e-3,7.12285923e-3,2.62621453e-3,2.26393426e-2,2.09940723e-2,9.20204686e-3,9.07154795e-1,2.39895794e-1,-2.38335999e-1,2.50431903e-1,1.18393540e-1,-9.29037275e-2,1.46176676e-1,9.13915383e-1,2.32153435e-1,-2.30178573e-1,2.40585286e-1,1.24447099e-1,-9.66039534e-2,1.55268276e-1,-4.92786087e-3,4.90963350e-3,-4.90155198e-3,4.87345127e-1,-2.59731525e-1,4.19292900e-1,-2.40294718e-1,1.52733434e-1,-1.31749726e-1,-5.59893321e-2,1.94210122e-1,1.20753905e-1,-6.91434613e-2,4.77091454e+0,4.98680391e+0,5.10490540e+0,1.30003441e-1,9.01764404e-2,3.00059868e-1,9.09852493e-1,4.97698408e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,4.12737430e+0
