t,attDeg,wParallel,wPerp,primitive,predAtt,actualAtt,predMinusActual,fuelMargin,phase,reachable,fdir
-0.001,63.8558,0.16668,0.07830,pulse:0+5:0.160,66.5326,63.8558,-2.6767,2.0571,guidance,0,
0.099,71.2867,0.17753,0.08151,pulse:0+5:0.160,66.5326,71.2867,4.7541,2.2371,guidance,0,
0.198,74.4448,0.17750,0.08282,pulse:0+5:0.160,66.5326,74.4448,7.9122,2.2409,guidance,0,
0.300,76.5027,0.17721,0.08406,pulse:0+5:0.160,66.5326,76.5027,9.9701,2.3404,guidance,0,
0.401,78.1555,0.17710,0.08555,pulse:0+5:0.160,66.5326,78.1555,11.6229,2.3526,guidance,0,
0.498,79.5101,0.17724,0.08690,pulse:0+5:0.160,66.5326,79.5101,12.9776,2.2294,guidance,0,
0.601,80.7877,0.17714,0.08689,pulse:0+5:0.160,83.6311,80.7877,-2.8434,2.3120,guidance,0,
0.700,81.9843,0.17737,0.08636,pulse:0+5:0.160,83.6311,81.9843,-1.6468,2.1141,guidance,0,
0.799,83.1027,0.17660,0.08369,pulse:0+5:0.160,83.6311,83.1027,-0.5285,2.1422,guidance,0,
0.900,84.2108,0.17567,0.08126,pulse:0+5:0.160,83.6311,84.2108,0.5797,2.3207,guidance,0,
0.998,85.2922,0.17593,0.07728,pulse:0+5:0.160,83.6311,85.2922,1.6611,2.2812,guidance,0,
1.099,86.3504,0.17657,0.07428,pulse:0+5:0.160,83.6311,86.3504,2.7193,2.3309,guidance,0,
1.150,86.9048,0.17632,0.07145,pulse:0+5:0.160,89.7318,86.9048,-2.8270,2.1682,guidance,0,
1.298,88.4020,0.17757,0.06429,pulse:0+5:0.160,89.7318,88.4020,-1.3298,2.3242,guidance,0,
1.400,89.4149,0.17679,0.05839,pulse:0+5:0.160,89.7318,89.4149,-0.3169,2.2438,guidance,0,
1.499,90.4108,0.17696,0.05277,pulse:0+5:0.160,89.7318,90.4108,0.6790,2.0604,guidance,0,
1.599,91.4210,0.17786,0.04891,pulse:0+5:0.160,89.7318,91.4210,1.6892,2.0085,guidance,0,
1.698,92.4189,0.17837,0.04594,pulse:0+5:0.160,95.2758,92.4189,-2.8569,2.0057,guidance,0,
1.800,93.4119,0.17873,0.04411,pulse:0+5:0.160,95.2758,93.4119,-1.8639,2.0623,guidance,0,
1.902,94.3969,0.17925,0.04164,pulse:0+5:0.160,95.2758,94.3969,-0.8789,2.0130,guidance,0,
1.998,95.3075,0.17837,0.04132,pulse:0+5:0.160,95.2758,95.3075,0.0317,2.2317,guidance,0,
2.103,96.3443,0.18046,0.04154,pulse:0+5:0.160,95.2758,96.3443,1.0686,2.1951,guidance,0,
2.198,97.2782,0.18102,0.04377,pulse:0+5:0.160,95.2758,97.2782,2.0025,2.1444,guidance,0,
2.299,98.2583,0.18251,0.04579,pulse:0+5:0.160,101.1816,98.2583,-2.9233,2.0634,guidance,0,
2.403,99.2705,0.18381,0.04873,pulse:0+5:0.160,101.1816,99.2705,-1.9111,1.9982,guidance,0,
2.500,100.1966,0.18409,0.05079,pulse:0+5:0.160,101.1816,100.1966,-0.9850,2.0256,guidance,0,
2.598,101.1595,0.18441,0.05270,pulse:0+5:0.160,101.1816,101.1595,-0.0221,1.9957,guidance,0,
2.699,102.1404,0.18597,0.05547,pulse:0+5:0.160,101.1816,102.1404,0.9589,2.2219,guidance,0,
2.797,103.1106,0.18716,0.05873,pulse:0+5:0.160,101.1816,103.1106,1.9290,2.0362,guidance,0,
